Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C2","0.01uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.025000,-108.000000,0.000000,top
"C3","0.01uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.000000,-108.000000,0.000000,top
"C4","0.01uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.000000,-108.000000,0.000000,top
"C5","0.01uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.000000,-108.000000,0.000000,top
"C6","0.01uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.000000,-108.000000,0.000000,top
"C7","0.01uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.000000,-108.000000,0.000000,top
"C8","0.01uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",137.000000,-108.000000,0.000000,top
"C9","0.01uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.000000,-108.000000,0.000000,top
"C10","0.01uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.000000,-108.000000,0.000000,top
"C11","0.01uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",190.000000,-108.000000,0.000000,top
"D6","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.500000,-89.000000,180.000000,top
"R6","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.000000,-104.000000,0.000000,top
"R7","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.000000,-104.000000,0.000000,top
"R8","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.000000,-100.000000,0.000000,top
"R9","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.000000,-100.000000,0.000000,top
"R10","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.000000,-104.000000,0.000000,top
"R11","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.000000,-104.000000,0.000000,top
"R12","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.000000,-100.000000,0.000000,top
"R13","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.000000,-100.000000,0.000000,top
"R14","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.000000,-104.000000,0.000000,top
"R15","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.000000,-104.000000,0.000000,top
"R16","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.000000,-100.000000,0.000000,top
"R17","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.000000,-100.000000,0.000000,top
"R18","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",137.000000,-104.000000,0.000000,top
"R19","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.000000,-104.000000,0.000000,top
"R20","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",137.000000,-100.000000,0.000000,top
"R21","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.000000,-100.000000,0.000000,top
"R22","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.000000,-104.000000,0.000000,top
"R23","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",190.000000,-104.000000,0.000000,top
"R24","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.000000,-100.000000,0.000000,top
"R25","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",190.000000,-100.000000,0.000000,top
"R26","220","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.500000,-86.000000,0.000000,top
"RN1","470","R_Array_Convex_4x0603",56.500000,-74.000000,270.000000,top
"RN2","470","R_Array_Convex_4x0603",89.000000,-74.500000,270.000000,top
"RN3","470","R_Array_Convex_4x0603",121.000000,-74.500000,270.000000,top
"RN4","470","R_Array_Convex_4x0603",153.000000,-74.000000,270.000000,top
"RN5","470","R_Array_Convex_4x0603",185.500000,-73.000000,270.000000,top
