Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,213.495,-121.845,90,bottom
C2,100nf,C_0402_1005Metric,201.22,-118.145,0,bottom
C3,100nf,C_0402_1005Metric,207.77,-133.645,180,bottom
C4,100nf,C_0402_1005Metric,210.046,-118.071,180,bottom
C5,100nf,C_0402_1005Metric,197.47,-130.2395,270,bottom
C6,1uF,C_0402_1005Metric,207.531,-117.1745,90,bottom
C7,1uF,C_0402_1005Metric,213.22,-126.895,270,bottom
C8,100nf,C_0402_1005Metric,205.106,-67.4975,90,bottom
C9,100nf,C_0402_1005Metric,181.37,-67.645,90,bottom
C10,10uF,C_0603_1608Metric,216.67,-118.745,270,bottom
C11,100nf,C_0402_1005Metric,190.5905,-133.477,270,bottom
C12,100nf,C_0402_1005Metric,188.77,-133.477,270,bottom
C16,20pF,C_0402_1005Metric,201.77,-135.945,270,bottom
C17,20pF,C_0402_1005Metric,207.37,-135.945,90,bottom
D1,YELLOW,LED_0603_1608Metric,197.92,-137.945,270,bottom
D2,GREEN,LED_0603_1608Metric,197.9295,-134.5565,270,bottom
D3,GREEN,LED_0603_1608Metric,218.47,-115.445,270,bottom
D17,D,D_SOD-323F,194.47,-133.477,270,bottom
FB1,Ferrite_Bead_Small,C_0805_2012Metric,218.7575,-118.9355,270,bottom
R2,330,R_0402_1005Metric,199.77,-137.945,270,bottom
R5,330,R_0402_1005Metric,199.77,-134.5565,90,bottom
R7,22,R_0402_1005Metric,217.17,-127.345,180,bottom
R8,22,R_0402_1005Metric,217.17,-125.545,180,bottom
R9,330,R_0402_1005Metric,175.133,-131.572,90,bottom
R10,10K,R_0402_1005Metric,192.405,-133.477,270,bottom
R11,10K,R_0402_1005Metric,197.47,-121.195,90,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,204.556,-135.1995,0,bottom
